query_id		Q0		doc_id		rank		tfidf_score		system_name
2		Q0		CACM2434		1		0.27329659732		kasi
2		Q0		CACM0597		2		0.219314699196		kasi
2		Q0		CACM0847		3		0.196228941386		kasi
2		Q0		CACM2863		4		0.194184424411		kasi
2		Q0		CACM3078		5		0.192194174004		kasi
2		Q0		CACM1305		6		0.152177546381		kasi
2		Q0		CACM1168		7		0.120269351172		kasi
2		Q0		CACM1014		8		0.11985427533		kasi
2		Q0		CACM3202		9		0.116510933948		kasi
2		Q0		CACM1625		10		0.116510933948		kasi
2		Q0		CACM0492		11		0.113070071066		kasi
2		Q0		CACM1345		12		0.112980299586		kasi
2		Q0		CACM1046		13		0.108514825406		kasi
2		Q0		CACM1424		14		0.106524282467		kasi
2		Q0		CACM1214		15		0.106524282467		kasi
2		Q0		CACM1867		16		0.101571419771		kasi
2		Q0		CACM1498		17		0.098114470693		kasi
2		Q0		CACM1183		18		0.098114470693		kasi
2		Q0		CACM1215		19		0.098114470693		kasi
2		Q0		CACM0435		20		0.0936361526017		kasi
2		Q0		CACM3189		21		0.0932087471584		kasi
2		Q0		CACM1623		22		0.0844044192466		kasi
2		Q0		CACM1439		23		0.0793265933263		kasi
2		Q0		CACM1117		24		0.0760887731905		kasi
2		Q0		CACM0397		25		0.0752960013023		kasi
2		Q0		CACM0971		26		0.0745669977267		kasi
2		Q0		CACM1315		27		0.0738287106205		kasi
2		Q0		CACM1397		28		0.0705025149001		kasi
2		Q0		CACM1861		29		0.0703462242705		kasi
2		Q0		CACM3204		30		0.0665776765417		kasi
2		Q0		CACM2645		31		0.0665776765417		kasi
2		Q0		CACM0728		32		0.0665776765417		kasi
2		Q0		CACM1486		33		0.0654096471287		kasi
2		Q0		CACM1391		34		0.0654096471287		kasi
2		Q0		CACM2356		35		0.0611204899399		kasi
2		Q0		CACM1591		36		0.0611204899399		kasi
2		Q0		CACM3201		37		0.060134675586		kasi
2		Q0		CACM1549		38		0.0591801569259		kasi
2		Q0		CACM2439		39		0.0591801569259		kasi
2		Q0		CACM1348		40		0.058255466974		kasi
2		Q0		CACM1523		41		0.0573592290205		kasi
2		Q0		CACM1403		42		0.0556470132289		kasi
2		Q0		CACM1334		43		0.0556470132289		kasi
2		Q0		CACM0942		44		0.0556470132289		kasi
2		Q0		CACM1926		45		0.054828674799		kasi
2		Q0		CACM2912		46		0.054828674799		kasi
2		Q0		CACM0531		47		0.0544792160592		kasi
2		Q0		CACM1464		48		0.0540340563237		kasi
2		Q0		CACM1427		49		0.0532621412334		kasi
2		Q0		CACM3127		50		0.0525119702301		kasi
2		Q0		CACM2456		51		0.0517826373102		kasi
2		Q0		CACM1564		52		0.0517826373102		kasi
2		Q0		CACM2937		53		0.0503831065721		kasi
2		Q0		CACM0282		54		0.0503831065721		kasi
2		Q0		CACM3199		55		0.0490572353465		kasi
2		Q0		CACM2519		56		0.0490572353465		kasi
2		Q0		CACM1161		57		0.0471943023587		kasi
2		Q0		CACM1468		58		0.0460290109424		kasi
2		Q0		CACM2943		59		0.0460290109424		kasi
2		Q0		CACM1542		60		0.0443851176945		kasi
2		Q0		CACM1503		61		0.0443851176945		kasi
2		Q0		CACM1705		62		0.0441224838619		kasi
2		Q0		CACM1469		63		0.0433529056551		kasi
2		Q0		CACM2383		64		0.0433529056551		kasi
2		Q0		CACM0616		65		0.0410459847021		kasi
2		Q0		CACM1676		66		0.0396632966631		kasi
2		Q0		CACM1145		67		0.0396632966631		kasi
2		Q0		CACM3080		68		0.0392457882772		kasi
2		Q0		CACM1854		69		0.037660099862		kasi
2		Q0		CACM2317		70		0.0372834988633		kasi
2		Q0		CACM0321		71		0.036552449866		kasi
2		Q0		CACM2939		72		0.036197571712		kasi
2		Q0		CACM2471		73		0.0355080941556		kasi
2		Q0		CACM2850		74		0.0355080941556		kasi
2		Q0		CACM2096		75		0.0355080941556		kasi
2		Q0		CACM3005		76		0.0355080941556		kasi
2		Q0		CACM1264		77		0.0342050448288		kasi
2		Q0		CACM1939		78		0.0335887377147		kasi
2		Q0		CACM1671		79		0.032140947296		kasi
2		Q0		CACM2092		80		0.032140947296		kasi
2		Q0		CACM3160		81		0.0303117876938		kasi
2		Q0		CACM1680		82		0.0274143373995		kasi
2		Q0		CACM1811		83		0.0268226610528		kasi
2		Q0		CACM2812		84		0.0268226610528		kasi
2		Q0		CACM1741		85		0.0250224824586		kasi
2		Q0		CACM2217		86		0.0245286176733		kasi
2		Q0		CACM2483		87		0.0214272981973		kasi
2		Q0		CACM2002		88		0.0210641236516		kasi
2		Q0		CACM3077		89		0.0172608791034		kasi
2		Q0		CACM2233		90		0.0162102168971		kasi
