query       tfidf_thesaurus          lucene            tfidf_base        tfidf_stemming        bm25_base         tfidf_stopping      bm25_stopping       bm25_thesaurus      bm25_stemming    
    28      0.0557661099113      0.157995100706      0.141328434039            ?             0.158328434039      0.141328434039      0.164005749759     0.0628817716803            ?          
    29       0.402575945361      0.260833490628      0.295269049061            ?             0.350730016767      0.287156805218      0.343961225918      0.414666044462            ?          
    60      0.0283941353108      0.163735995601      0.225600932898            ?             0.39168827937       0.244775132081      0.387614490614     0.0548741993285            ?          
    61      0.0119634708748      0.367938460349      0.385909719205            ?             0.495928391338      0.437019199994      0.516271786048      0.327678942004            ?          
    62      0.0020541025506     0.0324253608117     0.0305483562932            ?             0.136617216721     0.0738595106974      0.180013025975     0.00838686103374           ?          
    63      0.0878694945751       0.2912810009       0.171041720856            ?             0.309175199121      0.233048341708      0.310272253681      0.287685369661            ?          
    64            0.0           0.0518737751764     0.0273737751764            ?            0.0518737751764     0.0335404418431     0.0518737751764     0.00150011870196           ?          
    32      0.0518737751764     0.0678189789242     0.0365339940473            ?            0.0566236214745     0.0461547951619     0.0561547951619     0.0659879685753            ?          
    24      0.00138517617322     0.101752796127      0.105304877527            ?             0.127049101211      0.103774074178      0.123195565857    0.000938179038021           ?          
    25       0.269667533897      0.360511561697      0.271769187666            ?             0.410696761377      0.277650478801      0.383060801419      0.356742197137            ?          
    26       0.120403136093      0.189606166079      0.106411437899            ?             0.147009385094      0.110560462977      0.162461656171      0.189930731383            ?          
    27       0.138314082413      0.262506570016      0.299151248218            ?             0.358603487062      0.333463329762      0.36910930633       0.14951383653             ?          
    20      0.00428101998549     0.127287992196     0.0186926956355            ?            0.0995066319814     0.0406505778808     0.0998670215917     0.0246952037478            ?          
    21      0.0352835485349     0.0954051092161     0.0457001547136            ?             0.080962319967     0.0690873480406     0.0894299596429     0.0649634779819            ?          
    22            0.0            0.266368173966      0.212668685835            ?             0.329022506417      0.246794763233      0.323279417365     0.0403580467428            ?          
    49            0.0           0.0976152230208      0.010177467382            ?            0.0748252661522     0.0246212959624     0.0707959165583    0.000829483385847           ?          
    23            0.0            0.135056191669      0.151328434039            ?             0.156566529277      0.161661767372      0.159661767372           0.0                  ?          
