query_id	Q0	doc_id	rank	Lucene_score	system_name
17	QO	CACM1223	1	0.8803203	kasi-Inspiron-N5010
17	QO	CACM1658	2	0.7322875	kasi-Inspiron-N5010
17	QO	CACM1795	3	0.69838375	kasi-Inspiron-N5010
17	QO	CACM2491	4	0.6620665	kasi-Inspiron-N5010
17	QO	CACM1947	5	0.65310556	kasi-Inspiron-N5010
17	QO	CACM2253	6	0.53399134	kasi-Inspiron-N5010
17	QO	CACM2748	7	0.52644885	kasi-Inspiron-N5010
17	QO	CACM2897	8	0.46524215	kasi-Inspiron-N5010
17	QO	CACM1134	9	0.45843753	kasi-Inspiron-N5010
17	QO	CACM3080	10	0.44918352	kasi-Inspiron-N5010
17	QO	CACM1676	11	0.42025465	kasi-Inspiron-N5010
17	QO	CACM3054	12	0.41920084	kasi-Inspiron-N5010
17	QO	CACM3005	13	0.3577461	kasi-Inspiron-N5010
17	QO	CACM2929	14	0.35669407	kasi-Inspiron-N5010
17	QO	CACM1154	15	0.33901915	kasi-Inspiron-N5010
17	QO	CACM1807	16	0.3328512	kasi-Inspiron-N5010
17	QO	CACM1564	17	0.31224298	kasi-Inspiron-N5010
17	QO	CACM1523	18	0.30969474	kasi-Inspiron-N5010
17	QO	CACM2904	19	0.30497214	kasi-Inspiron-N5010
17	QO	CACM1757	20	0.30177498	kasi-Inspiron-N5010
17	QO	CACM2423	21	0.3005879	kasi-Inspiron-N5010
17	QO	CACM1231	22	0.29283592	kasi-Inspiron-N5010
17	QO	CACM2495	23	0.29271728	kasi-Inspiron-N5010
17	QO	CACM1886	24	0.2887003	kasi-Inspiron-N5010
17	QO	CACM1402	25	0.28414747	kasi-Inspiron-N5010
17	QO	CACM2433	26	0.2831447	kasi-Inspiron-N5010
17	QO	CACM2858	27	0.27082443	kasi-Inspiron-N5010
17	QO	CACM1275	28	0.26328686	kasi-Inspiron-N5010
17	QO	CACM2616	29	0.2631476	kasi-Inspiron-N5010
17	QO	CACM2138	30	0.2582785	kasi-Inspiron-N5010
17	QO	CACM1389	31	0.25612745	kasi-Inspiron-N5010
17	QO	CACM2944	32	0.25591603	kasi-Inspiron-N5010
17	QO	CACM2835	33	0.25454426	kasi-Inspiron-N5010
17	QO	CACM2968	34	0.25359792	kasi-Inspiron-N5010
17	QO	CACM1670	35	0.25004393	kasi-Inspiron-N5010
17	QO	CACM0252	36	0.24870126	kasi-Inspiron-N5010
17	QO	CACM2701	37	0.24817596	kasi-Inspiron-N5010
17	QO	CACM1542	38	0.2478805	kasi-Inspiron-N5010
17	QO	CACM3053	39	0.2453054	kasi-Inspiron-N5010
17	QO	CACM3150	40	0.24363047	kasi-Inspiron-N5010
17	QO	CACM3171	41	0.23401734	kasi-Inspiron-N5010
17	QO	CACM1392	42	0.23094225	kasi-Inspiron-N5010
17	QO	CACM2834	43	0.22630379	kasi-Inspiron-N5010
17	QO	CACM1783	44	0.22432265	kasi-Inspiron-N5010
17	QO	CACM1726	45	0.22426024	kasi-Inspiron-N5010
17	QO	CACM0210	46	0.22252443	kasi-Inspiron-N5010
17	QO	CACM1665	47	0.22152174	kasi-Inspiron-N5010
17	QO	CACM1362	48	0.22104463	kasi-Inspiron-N5010
17	QO	CACM0048	49	0.22043733	kasi-Inspiron-N5010
17	QO	CACM2107	50	0.21487929	kasi-Inspiron-N5010
17	QO	CACM0123	51	0.20476519	kasi-Inspiron-N5010
17	QO	CACM3115	52	0.2009226	kasi-Inspiron-N5010
17	QO	CACM2233	53	0.19510607	kasi-Inspiron-N5010
17	QO	CACM1652	54	0.19407932	kasi-Inspiron-N5010
17	QO	CACM1029	55	0.19268495	kasi-Inspiron-N5010
17	QO	CACM1387	56	0.19245186	kasi-Inspiron-N5010
17	QO	CACM3173	57	0.19107506	kasi-Inspiron-N5010
17	QO	CACM1973	58	0.19085898	kasi-Inspiron-N5010
17	QO	CACM3066	59	0.190731	kasi-Inspiron-N5010
17	QO	CACM3130	60	0.18944848	kasi-Inspiron-N5010
17	QO	CACM2246	61	0.1889145	kasi-Inspiron-N5010
17	QO	CACM2871	62	0.18738076	kasi-Inspiron-N5010
17	QO	CACM2527	63	0.18486966	kasi-Inspiron-N5010
