query_id	Q0	doc_id	rank	Lucene_score	system_name
10	QO	CACM2785	1	1.2543036	kasi-Inspiron-N5010
10	QO	CACM1795	2	0.84755254	kasi-Inspiron-N5010
10	QO	CACM2266	3	0.6441862	kasi-Inspiron-N5010
10	QO	CACM3075	4	0.6441862	kasi-Inspiron-N5010
10	QO	CACM2895	5	0.6439855	kasi-Inspiron-N5010
10	QO	CACM1302	6	0.6190589	kasi-Inspiron-N5010
10	QO	CACM3073	7	0.60225296	kasi-Inspiron-N5010
10	QO	CACM1747	8	0.6016297	kasi-Inspiron-N5010
10	QO	CACM3059	9	0.5501415	kasi-Inspiron-N5010
10	QO	CACM2851	10	0.531049	kasi-Inspiron-N5010
10	QO	CACM2685	11	0.52993935	kasi-Inspiron-N5010
10	QO	CACM2700	12	0.52080685	kasi-Inspiron-N5010
10	QO	CACM0249	13	0.5092504	kasi-Inspiron-N5010
10	QO	CACM2714	14	0.49183184	kasi-Inspiron-N5010
10	QO	CACM1536	15	0.485336	kasi-Inspiron-N5010
10	QO	CACM2514	16	0.4820974	kasi-Inspiron-N5010
10	QO	CACM1367	17	0.46429422	kasi-Inspiron-N5010
10	QO	CACM1828	18	0.46038586	kasi-Inspiron-N5010
10	QO	CACM2896	19	0.45664817	kasi-Inspiron-N5010
10	QO	CACM2973	20	0.44970798	kasi-Inspiron-N5010
10	QO	CACM1262	21	0.44970798	kasi-Inspiron-N5010
10	QO	CACM1158	22	0.43774074	kasi-Inspiron-N5010
10	QO	CACM2814	23	0.42292902	kasi-Inspiron-N5010
10	QO	CACM3156	24	0.39745453	kasi-Inspiron-N5010
10	QO	CACM2316	25	0.39669544	kasi-Inspiron-N5010
10	QO	CACM0392	26	0.3867749	kasi-Inspiron-N5010
10	QO	CACM0141	27	0.3867749	kasi-Inspiron-N5010
10	QO	CACM1601	28	0.38365486	kasi-Inspiron-N5010
10	QO	CACM1811	29	0.37701932	kasi-Inspiron-N5010
10	QO	CACM2557	30	0.37597436	kasi-Inspiron-N5010
10	QO	CACM0651	31	0.3700629	kasi-Inspiron-N5010
10	QO	CACM0628	32	0.3700629	kasi-Inspiron-N5010
10	QO	CACM2289	33	0.34182423	kasi-Inspiron-N5010
10	QO	CACM2865	34	0.34120187	kasi-Inspiron-N5010
10	QO	CACM2182	35	0.33842802	kasi-Inspiron-N5010
10	QO	CACM1468	36	0.33833244	kasi-Inspiron-N5010
10	QO	CACM2342	37	0.33807263	kasi-Inspiron-N5010
10	QO	CACM0950	38	0.33507547	kasi-Inspiron-N5010
10	QO	CACM2401	39	0.33507547	kasi-Inspiron-N5010
10	QO	CACM1309	40	0.33376706	kasi-Inspiron-N5010
10	QO	CACM2705	41	0.315017	kasi-Inspiron-N5010
10	QO	CACM1366	42	0.3118435	kasi-Inspiron-N5010
10	QO	CACM1569	43	0.30952945	kasi-Inspiron-N5010
10	QO	CACM1459	44	0.30802634	kasi-Inspiron-N5010
10	QO	CACM1703	45	0.3061188	kasi-Inspiron-N5010
10	QO	CACM1923	46	0.29905596	kasi-Inspiron-N5010
10	QO	CACM3077	47	0.29562324	kasi-Inspiron-N5010
10	QO	CACM2081	48	0.29491785	kasi-Inspiron-N5010
10	QO	CACM1306	49	0.29100022	kasi-Inspiron-N5010
10	QO	CACM1098	50	0.28839466	kasi-Inspiron-N5010
10	QO	CACM2265	51	0.28619096	kasi-Inspiron-N5010
10	QO	CACM1008	52	0.28329578	kasi-Inspiron-N5010
10	QO	CACM2470	53	0.27669406	kasi-Inspiron-N5010
10	QO	CACM3148	54	0.27470043	kasi-Inspiron-N5010
10	QO	CACM1852	55	0.27470043	kasi-Inspiron-N5010
10	QO	CACM2603	56	0.27436605	kasi-Inspiron-N5010
10	QO	CACM2433	57	0.273588	kasi-Inspiron-N5010
10	QO	CACM2570	58	0.273588	kasi-Inspiron-N5010
10	QO	CACM1496	59	0.27164245	kasi-Inspiron-N5010
10	QO	CACM2727	60	0.27083826	kasi-Inspiron-N5010
10	QO	CACM1200	61	0.27083826	kasi-Inspiron-N5010
10	QO	CACM2195	62	0.26496968	kasi-Inspiron-N5010
10	QO	CACM2406	63	0.26433066	kasi-Inspiron-N5010
10	QO	CACM3150	64	0.26107368	kasi-Inspiron-N5010
10	QO	CACM2175	65	0.2609418	kasi-Inspiron-N5010
10	QO	CACM1846	66	0.2609418	kasi-Inspiron-N5010
10	QO	CACM1138	67	0.25602162	kasi-Inspiron-N5010
10	QO	CACM0463	68	0.25602162	kasi-Inspiron-N5010
10	QO	CACM1142	69	0.25602162	kasi-Inspiron-N5010
10	QO	CACM1102	70	0.25602162	kasi-Inspiron-N5010
10	QO	CACM1466	71	0.25602162	kasi-Inspiron-N5010
10	QO	CACM2952	72	0.24173431	kasi-Inspiron-N5010
10	QO	CACM2645	73	0.23849985	kasi-Inspiron-N5010
10	QO	CACM1957	74	0.23818892	kasi-Inspiron-N5010
10	QO	CACM1603	75	0.23818892	kasi-Inspiron-N5010
10	QO	CACM1471	76	0.23818892	kasi-Inspiron-N5010
10	QO	CACM2931	77	0.23716633	kasi-Inspiron-N5010
10	QO	CACM1988	78	0.23283638	kasi-Inspiron-N5010
10	QO	CACM2254	79	0.232174	kasi-Inspiron-N5010
