query_id		Q0		doc_id		rank		BM25_score		system_name
46		Q0		CACM2711		1		23.8391644683		kasi
46		Q0		CACM2990		2		23.398628792		kasi
46		Q0		CACM1032		3		19.3500489586		kasi
46		Q0		CACM1457		4		17.9920951289		kasi
46		Q0		CACM0329		5		17.905169219		kasi
46		Q0		CACM1653		6		15.1932837768		kasi
46		Q0		CACM2307		7		14.7703511464		kasi
46		Q0		CACM2631		8		14.7523037313		kasi
46		Q0		CACM2451		9		14.2634129467		kasi
46		Q0		CACM2984		10		12.8992416098		kasi
46		Q0		CACM1699		11		12.8829048175		kasi
46		Q0		CACM1236		12		12.4801424764		kasi
46		Q0		CACM1267		13		12.2477842734		kasi
46		Q0		CACM2561		14		12.2101941652		kasi
46		Q0		CACM2542		15		12.189894234		kasi
46		Q0		CACM2882		16		12.0561776123		kasi
46		Q0		CACM2217		17		11.6594991198		kasi
46		Q0		CACM0891		18		11.5759927892		kasi
46		Q0		CACM3169		19		11.4600405451		kasi
46		Q0		CACM1675		20		11.4206428873		kasi
46		Q0		CACM2575		21		11.34665238		kasi
46		Q0		CACM2140		22		11.1487697676		kasi
46		Q0		CACM0944		23		10.9926891706		kasi
46		Q0		CACM2139		24		10.8732152464		kasi
46		Q0		CACM2959		25		10.8250826789		kasi
46		Q0		CACM2965		26		10.804122585		kasi
46		Q0		CACM2991		27		10.801264565		kasi
46		Q0		CACM1976		28		10.4846132861		kasi
46		Q0		CACM3168		29		10.4693420283		kasi
46		Q0		CACM2976		30		10.4140208432		kasi
46		Q0		CACM1935		31		10.3719968561		kasi
46		Q0		CACM2454		32		10.3232254994		kasi
46		Q0		CACM2318		33		10.1980142328		kasi
46		Q0		CACM1627		34		10.076618856		kasi
46		Q0		CACM1926		35		9.91289419292		kasi
46		Q0		CACM1415		36		9.7913201991		kasi
46		Q0		CACM2669		37		9.76399302764		kasi
46		Q0		CACM1272		38		9.65300935878		kasi
46		Q0		CACM1194		39		9.59076579487		kasi
46		Q0		CACM3089		40		9.58635887248		kasi
46		Q0		CACM2268		41		9.5400732564		kasi
46		Q0		CACM2478		42		9.47957854998		kasi
46		Q0		CACM1948		43		9.33508963406		kasi
46		Q0		CACM1652		44		9.33287506882		kasi
46		Q0		CACM1938		45		9.28171465974		kasi
46		Q0		CACM3134		46		9.24061421548		kasi
46		Q0		CACM1029		47		9.12375020226		kasi
46		Q0		CACM1516		48		9.11769473721		kasi
46		Q0		CACM2319		49		9.06490103648		kasi
46		Q0		CACM3048		50		9.0314703739		kasi
46		Q0		CACM2835		51		9.02518673162		kasi
46		Q0		CACM2598		52		9.01341626555		kasi
46		Q0		CACM2518		53		8.90601015763		kasi
46		Q0		CACM2568		54		8.88985377175		kasi
46		Q0		CACM2288		55		8.8761155982		kasi
46		Q0		CACM1792		56		8.85386625071		kasi
46		Q0		CACM2278		57		8.84067526678		kasi
46		Q0		CACM2437		58		8.71419513294		kasi
46		Q0		CACM0696		59		8.70842098745		kasi
46		Q0		CACM2265		60		8.65551144503		kasi
46		Q0		CACM1087		61		8.58654064178		kasi
46		Q0		CACM0675		62		8.54687532275		kasi
46		Q0		CACM1173		63		8.48857802041		kasi
46		Q0		CACM1827		64		8.46140773847		kasi
46		Q0		CACM1048		65		8.44673813888		kasi
46		Q0		CACM2059		66		8.38869960842		kasi
46		Q0		CACM2641		67		8.36444780286		kasi
46		Q0		CACM2107		68		8.35794684857		kasi
46		Q0		CACM2346		69		8.28631141399		kasi
46		Q0		CACM1681		70		8.22061323033		kasi
46		Q0		CACM0661		71		8.20821533982		kasi
46		Q0		CACM2327		72		8.20738969579		kasi
46		Q0		CACM2258		73		8.14309588958		kasi
46		Q0		CACM2050		74		8.113431709		kasi
46		Q0		CACM1927		75		8.04245365723		kasi
46		Q0		CACM1136		76		8.03890771996		kasi
46		Q0		CACM2484		77		8.01768928984		kasi
46		Q0		CACM1858		78		7.93440268894		kasi
46		Q0		CACM1290		79		7.9330093118		kasi
46		Q0		CACM2494		80		7.93210125585		kasi
46		Q0		CACM2253		81		7.88984615224		kasi
46		Q0		CACM1621		82		7.84083711835		kasi
46		Q0		CACM1934		83		7.78819058542		kasi
46		Q0		CACM1651		84		7.78765919594		kasi
46		Q0		CACM1108		85		7.76600652156		kasi
46		Q0		CACM1398		86		7.74992527159		kasi
46		Q0		CACM1572		87		7.71520720316		kasi
46		Q0		CACM2765		88		7.7092264454		kasi
46		Q0		CACM1931		89		7.68323317785		kasi
46		Q0		CACM1830		90		7.61918987905		kasi
46		Q0		CACM2842		91		7.61319942589		kasi
46		Q0		CACM2094		92		7.5844998686		kasi
46		Q0		CACM0397		93		7.57421844028		kasi
46		Q0		CACM3119		94		7.56838192839		kasi
46		Q0		CACM2033		95		7.53378354203		kasi
46		Q0		CACM0634		96		7.50437383362		kasi
46		Q0		CACM0892		97		7.49664717994		kasi
46		Q0		CACM2699		98		7.45614977546		kasi
46		Q0		CACM2070		99		7.41589634268		kasi
46		Q0		CACM0651		100		7.41589634268		kasi
