query_id		Q0		doc_id		rank		BM25_score		system_name
31		Q0		CACM3047		1		188.053256446		kasi
31		Q0		CACM1327		2		163.827098025		kasi
31		Q0		CACM2283		3		160.686132644		kasi
31		Q0		CACM2125		4		160.454828084		kasi
31		Q0		CACM2142		5		156.740682721		kasi
31		Q0		CACM2370		6		155.553314222		kasi
31		Q0		CACM3013		7		155.473039068		kasi
31		Q0		CACM1686		8		154.732157801		kasi
31		Q0		CACM3015		9		150.009489655		kasi
31		Q0		CACM2065		10		147.183781156		kasi
31		Q0		CACM2826		11		143.840969535		kasi
31		Q0		CACM2211		12		143.454015259		kasi
31		Q0		CACM1144		13		138.481166125		kasi
31		Q0		CACM2421		14		130.996339018		kasi
31		Q0		CACM1891		15		127.553904426		kasi
31		Q0		CACM2231		16		124.381535182		kasi
31		Q0		CACM1741		17		124.285530616		kasi
31		Q0		CACM2004		18		119.031190182		kasi
31		Q0		CACM2674		19		116.791624348		kasi
31		Q0		CACM1543		20		103.551615504		kasi
31		Q0		CACM0605		21		102.634168472		kasi
31		Q0		CACM2687		22		100.492916782		kasi
31		Q0		CACM1108		23		100.075288945		kasi
31		Q0		CACM2721		24		99.3555350401		kasi
31		Q0		CACM0531		25		97.81290112		kasi
31		Q0		CACM0464		26		97.325473272		kasi
31		Q0		CACM1571		27		97.0539495265		kasi
31		Q0		CACM2402		28		95.7943112255		kasi
31		Q0		CACM0670		29		95.4886238737		kasi
31		Q0		CACM0104		30		94.872808493		kasi
31		Q0		CACM2020		31		94.7313587018		kasi
31		Q0		CACM2302		32		94.5935273965		kasi
31		Q0		CACM0533		33		93.9028804368		kasi
31		Q0		CACM2819		34		93.4436569448		kasi
31		Q0		CACM2188		35		93.326295583		kasi
31		Q0		CACM0078		36		93.2720335724		kasi
31		Q0		CACM2829		37		93.0029773082		kasi
31		Q0		CACM0893		38		92.7749785374		kasi
31		Q0		CACM1366		39		92.7691933211		kasi
31		Q0		CACM1664		40		92.5693191004		kasi
31		Q0		CACM0824		41		92.4276509993		kasi
31		Q0		CACM1381		42		91.9496684585		kasi
31		Q0		CACM3160		43		91.6464084663		kasi
31		Q0		CACM0696		44		91.3038230548		kasi
31		Q0		CACM1671		45		90.6615725176		kasi
31		Q0		CACM2643		46		90.6422160545		kasi
31		Q0		CACM1409		47		90.467563584		kasi
31		Q0		CACM0894		48		90.4223091073		kasi
31		Q0		CACM3198		49		90.1885476689		kasi
31		Q0		CACM3059		50		90.1274595185		kasi
31		Q0		CACM1554		51		90.0964253377		kasi
31		Q0		CACM1847		52		90.0230720529		kasi
31		Q0		CACM2321		53		89.8737236276		kasi
31		Q0		CACM0185		54		89.8672344308		kasi
31		Q0		CACM1206		55		89.6725360089		kasi
31		Q0		CACM2931		56		89.5934600486		kasi
31		Q0		CACM2163		57		89.5082840589		kasi
31		Q0		CACM3200		58		89.492472539		kasi
31		Q0		CACM1261		59		89.4451175778		kasi
31		Q0		CACM1928		60		88.9726364808		kasi
31		Q0		CACM1194		61		88.958228995		kasi
31		Q0		CACM2367		62		88.9459650885		kasi
31		Q0		CACM1379		63		88.6351186732		kasi
31		Q0		CACM0796		64		88.485964413		kasi
31		Q0		CACM1415		65		88.4741175821		kasi
31		Q0		CACM2606		66		88.2269318187		kasi
31		Q0		CACM0329		67		87.9800375747		kasi
31		Q0		CACM0724		68		87.7990220057		kasi
31		Q0		CACM1961		69		87.7061321239		kasi
31		Q0		CACM1154		70		87.7039739652		kasi
31		Q0		CACM2753		71		87.67834008		kasi
31		Q0		CACM0321		72		87.5427612794		kasi
31		Q0		CACM2554		73		87.3217223056		kasi
31		Q0		CACM1529		74		87.3051248473		kasi
31		Q0		CACM3020		75		87.1490363466		kasi
31		Q0		CACM1428		76		87.0415241113		kasi
31		Q0		CACM2195		77		87.0239445615		kasi
31		Q0		CACM1392		78		87.0202302451		kasi
31		Q0		CACM1236		79		86.9943620249		kasi
31		Q0		CACM0236		80		86.9740901858		kasi
31		Q0		CACM3076		81		86.6328248488		kasi
31		Q0		CACM1901		82		86.4565638707		kasi
31		Q0		CACM1391		83		86.3985995381		kasi
31		Q0		CACM1700		84		86.3422374387		kasi
31		Q0		CACM2304		85		86.2718551582		kasi
31		Q0		CACM2786		86		86.2483478236		kasi
31		Q0		CACM2051		87		86.2101362546		kasi
31		Q0		CACM2971		88		86.1518981739		kasi
31		Q0		CACM2389		89		86.0733998206		kasi
31		Q0		CACM2572		90		86.0520476237		kasi
31		Q0		CACM2092		91		86.0178827505		kasi
31		Q0		CACM1805		92		85.9787445384		kasi
31		Q0		CACM3128		93		85.9278559233		kasi
31		Q0		CACM1765		94		85.9255877529		kasi
31		Q0		CACM2993		95		85.9126140836		kasi
31		Q0		CACM0595		96		85.9121645088		kasi
31		Q0		CACM1143		97		85.8485826274		kasi
31		Q0		CACM1652		98		85.8329460324		kasi
31		Q0		CACM3139		99		85.7935718467		kasi
31		Q0		CACM2110		100		85.7310182323		kasi
